export_date,max_stress,average_stress,daily_step_goal,sleeping_hours,active_mins,vig_intensity_mins,sedentary_secs,intensity_mins_goal,min_hr,max_hr,intensity_mins
2024-06-16,94,31,6610,0.0,107.1,0,21.6,150,58,115,0
2024-06-16,99,48,6600,5.2,235.6,1,13.5,150,55,134,0
2024-06-16,90,35,7470,8.1,58.0,2,13.4,150,57,127,0
2024-06-16,99,33,7450,10.1,129.0,22,10.8,150,54,197,0
2024-06-16,93,39,7750,10.1,137.6,0,10.1,150,58,138,0
2024-06-16,91,23,8360,7.3,122.7,9,13.6,150,56,180,0
2024-06-16,87,25,8830,9.3,70.3,13,12.8,150,57,191,0
2024-06-16,92,29,8750,6.6,105.4,0,14.4,150,57,111,0
2024-06-16,95,23,8420,7.5,80.4,31,14.1,150,50,194,0
2024-06-16,92,29,8580,8.6,61.5,0,13.9,150,58,114,0
2024-06-16,97,36,8260,6.0,181.1,0,14.3,150,59,120,0
2024-06-16,96,23,8470,9.6,48.4,0,10.7,150,58,112,0
